"ID";"RegioS";"Perioden";"AantalPersonen_1";"GemiddeldBesteedbaarInkomen_2";"RangnummerBesteedbaarInkomen_3";"GemiddeldGestandaardiseerdInkomen_4";"RangnummerGestandaardiseerdInkomen_5";"AantalPersonen_6";"InVanPersonenMetEnZonderInkomen_7";"GemiddeldPersoonlijkInkomen_8";"RangnummerPersoonlijkInkomen_9";"GemiddeldBesteedbaarInkomen_10";"RangnummerBesteedbaarInkomen_11"
"133";"PV26  ";"2006JJ00";"  1190.6";"    14.4";"       1";"    23.5";"       1";"   831.9";"      70";"    29.7";"       1";"    20.2";"       1"
"134";"PV26  ";"2007JJ00";"  1201.3";"    15.5";"       1";"    25.5";"       1";"   847.6";"      71";"    31.1";"       1";"    21.6";"       1"
"135";"PV26  ";"2008JJ00";"  1210.9";"    15.9";"       1";"    26.0";"       1";"   863.3";"      71";"    32.3";"       1";"    21.9";"       1"
"136";"PV26  ";"2009XX00";"  1220.9";"    16.0";"       1";"    26.1";"       1";"   871.7";"      71";"    32.8";"       1";"    22.0";"       1"
"137";"PV26  ";"2009JJ00";"  1220.9";"    16.0";"       1";"    26.1";"       1";"   872.3";"      71";"    32.8";"       1";"    22.1";"       1"
"138";"PV26  ";"2010JJ00";"  1228.8";"    15.9";"       1";"    26.1";"       1";"   876.9";"      71";"    33.1";"       1";"    22.0";"       1"
"139";"PV26  ";"2011JJ00";"  1237.1";"    15.9";"       1";"    26.1";"       1";"   885.0";"      72";"    33.6";"       1";"    22.0";"       1"
"140";"PV26  ";"2012JJ00";"  1245.3";"    16.1";"       1";"    26.3";"       1";"   888.6";"      71";"    34.0";"       1";"    22.3";"       1"
"141";"PV26  ";"2013JJ00";"  1253.7";"       .";"       .";"    26.5";"       1";"   890.3";"      71";"    34.6";"       1";"       .";"       ."
"142";"PV26  ";"2014JJ00";"  1263.6";"       .";"       .";"    27.8";"       1";"   893.6";"      71";"    35.3";"       1";"       .";"       ."
"143";"PV27  ";"2005JJ00";"  2606.6";"    13.6";"       2";"    21.5";"       2";"  1763.0";"      68";"    28.1";"       2";"    19.3";"       2"
"144";"PV27  ";"2006JJ00";"  2613.1";"    14.3";"       2";"    22.7";"       2";"  1844.9";"      71";"    29.0";"       2";"    19.9";"       2"
"145";"PV27  ";"2007JJ00";"  2626.2";"    15.4";"       2";"    24.5";"       2";"  1867.5";"      71";"    30.4";"       2";"    21.3";"       2"
"146";"PV27  ";"2008JJ00";"  2646.4";"    15.8";"       2";"    25.1";"       2";"  1902.5";"      72";"    31.5";"       2";"    21.6";"       2"
"147";"PV27  ";"2009XX00";"  2669.1";"    15.8";"       2";"    25.1";"       2";"  1922.2";"      72";"    31.9";"       2";"    21.6";"       2"
"148";"PV27  ";"2009JJ00";"  2669.1";"    15.8";"       2";"    25.1";"       2";"  1923.6";"      72";"    31.8";"       2";"    21.6";"       2"
